provinsi,kota_kabupaten,kecamatan,kelurahan_desa,latitude,longitude,tanggal,label_banjir,suhu_celcius,kelembapan_persen,curah_hujan_mm,kecepatan_angin_kmh,kondisi_cuaca,tahun,bulan,musim
Sumatera Barat,Agam,Candung,Canduang Koto Laweh,-0.315,100.468,2026-03-31,True,19.0,95.667,1.2,1.567,Cerah Berawan,2026,3,Hujan
Sumatera Barat,Agam,Candung,Canduang Koto Laweh,-0.315,100.468,2026-04-01,True,19.25,93.25,6.9,3.125,Berawan,2026,4,Peralihan
Sumatera Barat,Agam,Candung,Canduang Koto Laweh,-0.315,100.468,2026-04-02,True,19.625,93.25,3.2,3.25,Berawan,2026,4,Peralihan
Sumatera Barat,Kepulauan Mentawai,Sipora Selatan,Bosua,-2.348,99.824,2026-03-31,True,27.0,82.0,1.6,7.333,Berawan,2026,3,Hujan
Sumatera Barat,Kepulauan Mentawai,Sipora Selatan,Bosua,-2.348,99.824,2026-04-01,True,26.875,83.0,4.2,5.688,Berawan,2026,4,Peralihan
Sumatera Barat,Kepulauan Mentawai,Sipora Selatan,Bosua,-2.348,99.824,2026-04-02,True,28.25,78.5,0.8,7.7,Berawan,2026,4,Peralihan
Sumatera Utara,Pakpak Bharat,Salak,Salak I,2.552,98.321,2026-03-31,True,19.333,95.333,3.8,1.767,Berawan,2026,3,Hujan
Sumatera Utara,Pakpak Bharat,Salak,Salak I,2.552,98.321,2026-04-01,True,20.25,93.0,1.6,2.675,Berawan,2026,4,Peralihan
Sumatera Utara,Pakpak Bharat,Salak,Salak I,2.552,98.321,2026-04-02,True,20.625,91.625,6.6,4.638,Hujan Ringan,2026,4,Peralihan
Sumatera Utara,Pakpak Bharat,Siempat Rube,Siempat Rube Ii,2.56,98.356,2026-03-31,True,19.0,95.667,3.9,3.033,Berawan,2026,3,Hujan
Sumatera Utara,Pakpak Bharat,Siempat Rube,Siempat Rube Ii,2.56,98.356,2026-04-01,True,19.625,92.875,0.6,3.713,Berawan,2026,4,Peralihan
Sumatera Utara,Pakpak Bharat,Siempat Rube,Siempat Rube Ii,2.56,98.356,2026-04-02,True,20.0,91.375,6.4,3.45,Hujan Ringan,2026,4,Peralihan
